delta_pose,ir
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.172  0.758  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.681  0.365  0.140  0.744  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.365  0.165  0.772  0.152  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.369  0.148  0.758  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.140  0.772  0.130  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.365  0.156  0.815  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.133  0.744  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.369  0.154  0.744  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.135  0.555  0.154  0.147]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.154  0.758  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.144  0.565  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.135  0.744  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.369  0.137  0.597  0.157  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.369  0.133  0.758  0.129  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.148  0.575  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.156  0.704  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.361  0.148  0.815  0.150  0.137]
[ 0.000000  0.000000  0.000000],	[ 0.775  0.356  0.146  0.631  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.146  0.679  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.356  0.146  0.619  0.145  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.365  0.154  0.654  0.150  0.125]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.365  0.148  0.801  0.145  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.369  0.154  0.631  0.145  0.125]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.140  1.052  0.148  0.125]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.156  0.608  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.133  1.033  0.148  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.158  0.758  0.130  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.369  0.133  0.943  0.150  0.150]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.160  0.815  0.150  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.148  1.090  0.148  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.736  0.361  0.146  0.772  0.152  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.365  0.170  1.052  0.145  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.369  0.140  0.846  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.172  1.052  0.150  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.156  0.704  0.152  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.708  0.365  0.174  1.071  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.765  0.365  0.146  0.758  0.150  0.137]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.154  1.090  0.148  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.365  0.146  0.831  0.152  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.365  0.163  0.927  0.129  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.365  0.156  0.815  0.145  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.745  0.369  0.154  0.831  0.145  0.142]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.160  0.831  0.150  0.140]
[ 0.000000  0.000000  0.000000],	[ 0.726  0.365  0.160  0.815  0.129  0.145]
[ 0.000000  0.000000  0.000000],	[ 0.717  0.356  0.139  0.815  0.148  0.144]
[ 0.000000  0.000000  0.000000],	[ 0.755  0.348  0.182  0.815  0.148  0.144]
[-0.000873 -0.000005 -0.008213],	[ 0.745  0.365  0.130  0.691  0.150  0.142]
[ 0.000436  0.000007  0.028747],	[ 0.775  0.361  0.187  0.758  0.152  0.127]
[ 0.000000  0.000000  0.000000],	[ 0.699  0.348  0.187  0.758  0.150  0.121]
[-0.002182 -0.000016 -0.004107],	[ 0.795  0.383  0.232  0.772  0.148  0.133]
[-0.001309 -0.000004  0.004107],	[ 0.755  0.352  0.199  0.619  0.150  0.142]
[-0.001309 -0.000002 -0.004107],	[ 0.775  0.383  0.221  0.801  0.152  0.145]
[-0.005672  0.000007  0.004107],	[ 0.708  0.369  0.286  0.654  0.129  0.145]
[-0.005672 -0.000007 -0.004107],	[ 0.726  0.369  0.306  0.679  0.150  0.144]
[-0.013088  0.000219  0.016427],	[ 0.775  0.383  0.396  0.815  0.150  0.144]
[-0.013919  0.000898  0.147840],	[ 0.717  0.348  0.277  0.758  0.141  0.118]
[-0.012209  0.000358  0.073920],	[ 0.736  0.339  0.829  1.090  0.143  0.114]
[-0.012652  0.000163  0.028747],	[ 0.615  0.335  0.829  0.259  0.139  0.109]
[-0.018326  0.000090  0.008213],	[ 0.592  0.348  0.785  0.525  0.132  0.104]
[-0.013526  0.000007  0.004107],	[ 0.536  0.331  0.859  0.272  0.134  0.100]
[-0.022689 -0.000057 -0.008213],	[ 0.578  0.343  0.500  0.317  0.125  0.094]
[-0.024871 -0.000032 -0.004107],	[ 0.623  0.356  0.859  0.400  0.119  0.091]
[-0.018762 -0.000011 -0.004107],	[ 0.563  0.331  0.643  0.329  0.114  0.082]
[-0.029671 -0.000029  0.000000],	[ 0.623  0.331  0.875  0.191  0.110  0.076]
[-0.021380  0.000038  0.004107],	[ 0.550  0.320  0.396  0.347  0.103  0.076]
[-0.033161  0.000036  0.000000],	[ 0.608  0.312  0.859  0.223  0.086  0.064]
[-0.023998 -0.000073 -0.004107],	[ 0.608  0.312  0.214  0.263  0.088  0.056]
[-0.037360 -0.003130 -0.114986],	[ 0.726  0.298  0.449  0.213  0.081  0.048]
[-0.021292 -0.001571 -0.176586],	[ 0.492  0.324  0.667  1.014  0.065  0.070]
[-0.012216 -0.000149 -0.049280],	[ 0.917  0.324  0.744  1.090  0.056  0.078]
[-0.017017 -0.000084 -0.012320],	[ 1.462  0.327  0.643  1.090  0.062  0.077]
[-0.015708 -0.000025  0.000000],	[ 1.662  0.327  0.567  1.071  0.066  0.077]
[-0.017859  0.000974  0.061600],	[ 1.389  0.320  0.771  0.943  0.067  0.081]
