pose,ir
[ 0.000000  0.000000  0.000000],	[ 1.662  0.369  0.643  0.506  1.077  0.312]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.408  0.537  1.052  0.161  0.279]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.361  0.567  0.525  0.379  0.233]
[ 0.000000  0.000000  0.000000],	[ 1.705  0.331  0.527  1.090  0.328  0.257]
[ 0.000000  0.000000  0.000000],	[ 1.539  0.383  0.527  1.071  0.341  0.342]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.361  0.426  0.801  0.356  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.620  0.424  0.500  0.679  0.521  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.312  0.390  0.220  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.320  0.482  0.608  1.171  0.353]
[ 0.000000  0.000000  0.000000],	[ 1.662  0.305  0.232  0.242  1.171  0.354]
[ 0.000000  0.000000  0.000000],	[ 1.641  0.244  0.296  0.437  1.171  0.352]
[ 0.000000  0.000000  0.000000],	[ 1.683  0.232  0.322  0.317  1.171  0.354]
[ 0.000000  0.000005 -0.024640],	[ 1.662  0.177  0.449  0.216  1.147  0.354]
[-0.001307  0.000072 -0.045173],	[ 1.662  0.180  0.345  0.608  0.970  0.354]
[-0.000872  0.000047 -0.049280],	[ 1.559  0.249  0.301  0.575  1.171  0.342]
[-0.001308  0.000064 -0.045173],	[ 1.641  0.255  0.474  0.943  1.171  0.341]
[-0.001308  0.000064 -0.045173],	[ 1.662  0.291  0.370  0.565  1.147  0.354]
[-0.001308  0.000063 -0.069813],	[ 1.444  0.263  0.357  0.422  1.171  0.354]
[-0.002176  0.000152 -0.102666],	[ 0.239  0.225  0.333  0.565  1.196  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.216  0.374  0.129  0.877  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.282  0.185  0.281  0.575  1.171  0.353]
[-0.001307  0.000068 -0.094453],	[ 0.291  0.194  0.396  1.052  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.339  0.178  0.491  0.393  1.147  0.353]
[-0.001307  0.000068 -0.094453],	[ 0.354  0.188  0.730  0.608  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.346  0.178  0.537  0.978  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.366  0.194  0.577  1.071  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.370  0.190  0.799  0.943  1.147  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.370  0.209  0.390  0.231  1.171  0.339]
[-0.001307  0.000068 -0.094453],	[ 0.358  0.216  0.457  0.654  1.196  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.317  0.244  0.609  0.565  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.294  0.225  0.277  0.259  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.274  0.247  0.859  0.831  1.147  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.225  0.859  0.893  0.341  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.247  0.829  0.943  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.234  0.717  0.861  1.171  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.220  0.232  0.859  0.772  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.255  0.859  0.679  1.171  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.244  0.844  0.296  1.147  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.232  0.844  0.454  1.196  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.225  0.844  0.786  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.647  0.205  0.859  0.347  1.171  0.351]
[-0.001307  0.000068 -0.094453],	[ 0.510  0.218  0.844  0.317  0.478  0.355]
[-0.001307  0.000068 -0.094453],	[ 0.431  0.222  0.859  0.525  0.387  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.406  0.216  0.829  0.488  0.488  0.314]
[-0.001307  0.000068 -0.094453],	[ 0.379  0.190  0.859  0.386  0.258  0.290]
[-0.001307  0.000068 -0.094453],	[ 0.339  0.162  0.844  0.050  0.544  0.263]
[-0.001307  0.000068 -0.094453],	[ 0.304  0.147  0.859  0.183  1.221  0.354]
